Material,Stage,Country,Share,t
Cobalt,E,Philippines,2.7%,1.0
Copper,E,Philippines,0.4%,1.0
Copper,P,Philippines,0.8%,1.0
Feldspar,E,Philippines,0.2%,1.0
Gold,E,Philippines,0.6%,1.0
Hydrogen,E,Philippines,0.1%,1.0
Iron ore,E,Philippines,<0.1%,1.0
Iron ore,P,Philippines,0.1%,1.0
Kaolin,P,Philippines,<0.1%,1.0
Lead,P,Philippines,0.1%,1.0
Magnesite,E,Philippines,<0.1%,1.0
Natural rubber,E,Philippines,2.8%,1.0
Nickel,E,Philippines,14.0%,1.0
Perlite,E,Philippines,0.4%,1.0
Phosphate Rock,E,Philippines,<0.1%,1.0
Scandium,P,Philippines,4.2%,1.0
Selenium,P,Philippines,2.6%,1.0
Silica sand,E,Philippines,0.4%,1.0
Silver,E,Philippines,0.1%,1.0
Sulphur,P,Philippines,1.3%,1.0
Antimony,P,Poland,0.1%,0.8
Bentonite,E,Poland,<0.1%,0.8
Cadmium,P,Poland,0.8%,0.8
Coking coal,E,Poland,1.2%,0.8
Coking coal,P,Poland,1.4%,0.8
Copper,E,Poland,2.0%,0.8
Copper,P,Poland,2.2%,0.8
Diatomite,E,Poland,<0.1%,0.8
Feldspar,E,Poland,0.2%,0.8
Gold,E,Poland,<0.1%,0.8
Gypsum,E,Poland,0.7%,0.8
Helium,P,Poland,1.0%,0.8
Hydrogen,E,Poland,0.1%,0.8
Hydrogen,P,Poland,0.4%,0.8
Iron ore,P,Poland,0.5%,0.8
Kaolin,E,Poland,0.1%,0.8
Kaolin,P,Poland,0.8%,0.8
Lead,E,Poland,1.5%,0.8
Lead,P,Poland,1.3%,0.8
Limestone,E,Poland,8.2%,0.8
Magnesite,E,Poland,0.3%,0.8
Manganese,P,Poland,<0.1%,0.8
Nickel,E,Poland,<0.1%,0.8
Platinum,P,Poland,<0.1%,0.8
Rhenium,P,Poland,14.9%,0.8
Roundwood,E,Poland,2%,0.8
Selenium,P,Poland,2.0%,0.8
Silica sand,E,Poland,2.0%,0.8
Silver,E,Poland,4.6%,0.8
Sulphur,P,Poland,1.5%,0.8
Tin,P,Poland,1.0%,0.8
Zinc,E,Poland,0.4%,0.8
Zinc,P,Poland,1.2%,0.8
Antimony,P,Portugal,<0.1%,0.8
Borate,P,Portugal,<0.1%,0.8
Copper,E,Portugal,0.3%,0.8
Feldspar,E,Portugal,0.4%,0.8
Gypsum,E,Portugal,0.1%,0.8
Iron ore,P,Portugal,0.1%,0.8
Kaolin,E,Portugal,0.7%,0.8
Kaolin,P,Portugal,1.9%,0.8
Lead,E,Portugal,0.4%,0.8
Lead,P,Portugal,0.1%,0.8
Limestone,E,Portugal,1.3%,0.8
Lithium,E,Portugal,0.3%,0.8
Manganese,P,Portugal,<0.1%,0.8
Natural cork,E,Portugal,48.1%,0.8
Roundwood,E,Portugal,1%,0.8
Silica sand,E,Portugal,0.5%,0.8
Silver,E,Portugal,0.3%,0.8
Talc,E,Portugal,0.2%,0.8
Tin,E,Portugal,<0.1%,0.8
Tungsten,E,Portugal,0.7%,0.8
Zinc,E,Portugal,1.0%,0.8
Aluminium,P,Qatar,1.0%,1.0
Helium,P,Qatar,29.8%,1.0
Hydrogen,E,Qatar,4.3%,1.0
Iron ore,P,Qatar,0.1%,1.0
Sulphur,P,Qatar,2.5%,1.0
Aluminium,P,Romania,0.4%,0.8
Antimony,P,Romania,<0.1%,0.8
Bentonite,E,Romania,0.2%,0.8
Copper,E,Romania,<0.1%,0.8
Feldspar,E,Romania,<0.1%,0.8
Gold,E,Romania,<0.1%,0.8
Gypsum,E,Romania,0.5%,0.8
Hydrogen,E,Romania,0.3%,0.8
Iron ore,P,Romania,0.2%,0.8
Kaolin,E,Romania,<0.1%,0.8
Lead,E,Romania,<0.1%,0.8
Lead,P,Romania,0.2%,0.8
Limestone,E,Romania,2.0%,0.8
Manganese,E,Romania,<0.1%,0.8
Silica sand,E,Romania,0.1%,0.8
Silver,E,Romania,0.1%,0.8
Zinc,E,Romania,<0.1%,0.8
Aluminium,E,Russia,1.9%,1.0
Aluminium,P,Russia,6.0%,1.1
Antimony,E,Russia,11.6%,1.0
Antimony,P,Russia,0.1%,1.0
Arsenic,P,Russia,1.2%,1.0
Barytes,E,Russia,3.0%,1.0
Bentonite,E,Russia,3.2%,1.0
Bismuth,P,Russia,<0.1%,1.0
Borate,E,Russia,2.0%,1.0
Borate,P,Russia,1.9%,1.0
Cadmium,P,Russia,4.2%,1.0
Cerium,E,Russia,1.5%,1.0
Cerium,P,Russia,1.9%,1.0
Chromium,E,Russia,0.1%,1.0
Chromium,P,Russia,3.3%,1.1
Cobalt,E,Russia,6.6%,1.0
Cobalt,P,Russia,1.7%,1.0
Coking coal,E,Russia,8.8%,1.0
Coking coal,P,Russia,6.4%,1.1
Copper,E,Russia,4.0%,1.0
Copper,P,Russia,4.1%,1.0
Diatomite,E,Russia,2.3%,1.0
Dysprosium,E,Russia,1.9%,1.0
Erbium,E,Russia,1.5%,1.0
Europium,E,Russia,1.5%,1.0
Feldspar,E,Russia,0.9%,1.0
Fluorspar,E,Russia,0.1%,1.0
Gadolinium,E,Russia,1.5%,1.0
Gallium,P,Russia,1.9%,1.0
Germanium,P,Russia,5.0%,1.0
Gold,E,Russia,8.6%,1.0
Gypsum,E,Russia,2.7%,1.0
Hafnium,P,Russia,2.8%,1.1
Helium,P,Russia,2.4%,1.0
Holmium,E,Russia,1.5%,1.0
Hydrogen,E,Russia,17.5%,1.0
Indium,P,Russia,0.7%,1.0
Iridium,P,Russia,0.1%,1.0
Iron ore,E,Russia,4.2%,1.0
Iron ore,P,Russia,4.1%,1.0
Kaolin,E,Russia,<0.1%,1.0
Krypton,P,Russia,35%,1.0
Lanthanum,E,Russia,1.5%,1.0
Lanthanum,P,Russia,1.9%,1.0
Lead,E,Russia,4.4%,1.0
Lead,P,Russia,1.2%,1.0
Lutetium,E,Russia,1.5%,1.0
Magnesite,E,Russia,4.6%,1.0
Magnesium,P,Russia,1.5%,1.0
Manganese,E,Russia,0.1%,1.0
Manganese,P,Russia,1.7%,1.0
Molybdenum,E,Russia,0.9%,1.0
Natural Graphite,E,Russia,1.5%,1.0
Neodymium,E,Russia,1.5%,1.0
Neodymium,P,Russia,1.9%,1.0
Nickel,E,Russia,9.9%,1.0
Nickel,P,Russia,7.1%,1.0
Niobium,E,Russia,0.6%,1.0
Palladium,P,Russia,40.4%,1.0
Perlite,E,Russia,1.0%,1.0
Phosphate Rock,E,Russia,6.9%,1.0
Platinum,P,Russia,12.1%,1.1
Potash,E,Russia,17.2%,1.0
Praseodymium,P,Russia,1.9%,1.0
Praseodymium,E,Russia,1.5%,1.0
Rhenium,P,Russia,3.2%,1.0
Rhodium,P,Russia,9.7%,1.0
Roundwood,E,Russia,9%,1.0
Ruthenium,P,Russia,0.1%,1.0
Samarium,E,Russia,1.5%,1.0
Samarium,P,Russia,1.9%,1.0
Scandium,P,Russia,16.7%,1.0
Selenium,P,Russia,5.2%,1.0
Silicon metal,P,Russia,1.6%,1.0
Silver,E,Russia,5.1%,1.0
Sulphur,P,Russia,8.8%,1.0
Talc,E,Russia,2.1%,1.0
Tantalum,E,Russia,2.5%,1.0
Tellurium,P,Russia,4%,1.0
Terbium,E,Russia,1.9%,1.0
Thulium,E,Russia,1.5%,1.0
Tin,E,Russia,0.6%,1.0
Tin,P,Russia,0.3%,1.0
Titanium,E,Russia,0.1%,1.0
Titanium,P,Russia,1.4%,1.1
Titanium metal,E,Russia,0.1%,1.0
Titanium metal,P,Russia,20.3%,1.1
Tungsten,E,Russia,2.7%,1.1
Tungsten,P,Russia,2.8%,1.0
Vanadium,E,Russia,19.8%,1.0
Vanadium,P,Russia,9.0%,1.0
Ytterbium,E,Russia,1.5%,1.0
Yttrium,E,Russia,1.5%,1.0
Zinc,E,Russia,2.2%,1.0
Zinc,P,Russia,1.7%,1.0
Zirconium,E,Russia,0.7%,1.0
Antimony,P,Rwanda,<0.1%,1.0
Beryllium,E,Rwanda,0.4%,1.0
Gold,E,Rwanda,0.1%,1.0
Niobium,E,Rwanda,0.2%,1.0
Tantalum,E,Rwanda,17.3%,1.0
Tin,E,Rwanda,1.0%,1.1
Tin,P,Rwanda,0.1%,1.1
Tungsten,E,Rwanda,1.2%,1.1
Antimony,P,San Marino,<0.1%,1.0
Aluminium,E,Saudi Arabia,1.4%,1.0
Aluminium,P,Saudi Arabia,1.2%,1.0
Antimony,P,Saudi Arabia,<0.1%,1.0
Copper,E,Saudi Arabia,0.3%,1.0
Feldspar,E,Saudi Arabia,0.6%,1.0
Gold,E,Saudi Arabia,0.3%,1.0
Gypsum,E,Saudi Arabia,2.1%,1.0
Hydrogen,E,Saudi Arabia,3.0%,1.0
Iron ore,E,Saudi Arabia,<0.1%,1.0
Iron ore,P,Saudi Arabia,0.4%,1.0
Lead,P,Saudi Arabia,0.6%,1.0
Magnesite,E,Saudi Arabia,0.6%,1.0
Manganese,P,Saudi Arabia,0.3%,1.0
Phosphate Rock,E,Saudi Arabia,2.5%,1.0
Silica sand,E,Saudi Arabia,0.6%,1.0
Silver,E,Saudi Arabia,<0.1%,1.0
Sulphur,P,Saudi Arabia,8.1%,1.0
Talc,E,Saudi Arabia,0.6%,1.0
Titanium,P,Saudi Arabia,1.3%,1.0
Titanium metal,P,Saudi Arabia,0.3%,1.0
Zinc,E,Saudi Arabia,0.2%,1.0
Gold,E,Senegal,0.3%,1.0
Hydrogen,E,Senegal,<0.1%,1.0
Lead,P,Senegal,<0.1%,1.0
Manganese,E,Senegal,<0.1%,1.0
Phosphate Rock,E,Senegal,1.1%,1.0
Silver,E,Senegal,<0.1%,1.0
Titanium,E,Senegal,3.7%,1.1
Titanium metal,E,Senegal,3.7%,1.1
Zirconium,E,Senegal,5.5%,1.1
Antimony,P,Serbia,<0.1%,1.0
Copper,E,Serbia,0.2%,1.0
Copper,P,Serbia,0.3%,1.0
Gold,E,Serbia,<0.1%,1.0
Hydrogen,E,Serbia,<0.1%,1.0
Iron ore,P,Serbia,0.1%,1.0
Kaolin,E,Serbia,<0.1%,1.0
Lead,E,Serbia,0.1%,1.0
Lead,P,Serbia,0.1%,1.0
Limestone,E,Serbia,0.4%,1.0
Manganese,P,Serbia,<0.1%,1.0
Nickel,P,Serbia,1.6%,1.0
Palladium,P,Serbia,<0.1%,1.0
Selenium,P,Serbia,0.6%,1.0
Silica sand,E,Serbia,0.1%,1.0
Silver,E,Serbia,0.1%,1.0
Zinc,E,Serbia,0.1%,1.0
Aluminium,E,Sierra Leone,0.5%,1.0
Gold,E,Sierra Leone,<0.1%,1.0
Iron ore,E,Sierra Leone,0.1%,1.0
Titanium,E,Sierra Leone,2.1%,1.1
Titanium metal,E,Sierra Leone,2.1%,1.1
Zirconium,E,Sierra Leone,0.4%,1.1
Antimony,P,Singapore,0.2%,1.0
Iron ore,P,Singapore,<0.1%,1.0
Manganese,P,Singapore,<0.1%,1.0
Aluminium,P,Slovakia,0.3%,0.8
Antimony,P,Slovakia,<0.1%,0.8
Barytes,E,Slovakia,0.1%,0.8
Bentonite,E,Slovakia,1.1%,0.8
Borate,P,Slovakia,<0.1%,0.8
Coking coal,P,Slovakia,0.2%,0.8
Copper,E,Slovakia,<0.1%,0.8
Feldspar,E,Slovakia,0.1%,0.8
Gold,E,Slovakia,<0.1%,0.8
Gypsum,E,Slovakia,<0.1%,0.8
Hydrogen,E,Slovakia,<0.1%,0.8
Hydrogen,P,Slovakia,<0.1%,0.8
Iron ore,P,Slovakia,0.3%,0.8
Kaolin,E,Slovakia,<0.1%,0.8
Kaolin,P,Slovakia,<0.1%,0.8
Lead,E,Slovakia,<0.1%,0.8
Lead,P,Slovakia,<0.1%,0.8
Limestone,E,Slovakia,0.9%,0.8
Magnesite,E,Slovakia,3.2%,0.8
Manganese,P,Slovakia,0.4%,0.8
Perlite,E,Slovakia,0.7%,0.8
Silica sand,E,Slovakia,0.2%,0.8
Silicon metal,P,Slovakia,<0.1%,0.8
Silver,E,Slovakia,<0.1%,0.8
Talc,E,Slovakia,0.6%,0.8
Zinc,E,Slovakia,<0.1%,0.8
Aluminium,P,Slovenia,0.1%,0.8
Antimony,P,Slovenia,<0.1%,0.8
Bentonite,E,Slovenia,<0.1%,0.8
Hydrogen,E,Slovenia,<0.1%,0.8
Iron ore,P,Slovenia,<0.1%,0.8
Lead,P,Slovenia,0.1%,0.8
Limestone,E,Slovenia,0.5%,0.8
Manganese,P,Slovenia,<0.1%,0.8
Silica sand,E,Slovenia,0.1%,0.8
Aluminium,E,Solomon Islands,0.3%,1.0
Aluminium,P,South Africa,1.1%,1.0
Antimony,E,South Africa,0.1%,1.0
Antimony,P,South Africa,<0.1%,1.0
Bentonite,E,South Africa,0.6%,1.0
Chromium,E,South Africa,55.5%,1.0
Chromium,P,South Africa,24.1%,1.0
Cobalt,E,South Africa,0.8%,1.0
Cobalt,P,South Africa,0.8%,1.0
Coking coal,E,South Africa,0.4%,1.0
Copper,E,South Africa,0.3%,1.0
Copper,P,South Africa,0.2%,1.0
Feldspar,E,South Africa,0.3%,1.0
Fluorspar,E,South Africa,3.1%,1.0
Gold,E,South Africa,3.6%,1.0
Gypsum,E,South Africa,0.2%,1.0
Hydrogen,E,South Africa,<0.1%,1.0
Iridium,P,South Africa,93.5%,1.0
Iron ore,E,South Africa,3.0%,1.0
Iron ore,P,South Africa,0.3%,1.0
Kaolin,E,South Africa,<0.1%,1.0
Lead,E,South Africa,0.8%,1.0
Lead,P,South Africa,0.5%,1.0
Magnesite,E,South Africa,<0.1%,1.0
Manganese,E,South Africa,29.3%,1.0
Manganese,P,South Africa,2.1%,1.0
Nickel,E,South Africa,1.9%,1.0
Nickel,P,South Africa,1.4%,1.0
Palladium,P,South Africa,36.1%,1.0
Perlite,E,South Africa,<0.1%,1.0
Phosphate Rock,E,South Africa,0.9%,1.0
Platinum,P,South Africa,70.8%,1.0
Rhodium,P,South Africa,81.1%,1.0
Roundwood,E,South Africa,1%,1.0
Ruthenium,P,South Africa,93.5%,1.0
Sapele wood,E,South Africa,0.1%,1.0
Silica sand,E,South Africa,0.9%,1.0
Silver,E,South Africa,0.2%,1.0
Sulphur,P,South Africa,0.6%,1.0
Talc,E,South Africa,1.2%,1.0
Titanium,E,South Africa,13.1%,1.0
Titanium,P,South Africa,9.3%,1.0
Titanium metal,E,South Africa,13.1%,1.0
Vanadium,E,South Africa,10.6%,1.0
Vanadium,P,South Africa,8.2%,1.0
Zinc,E,South Africa,0.6%,1.0
Zirconium,E,South Africa,23.4%,1.0
Aluminium,P,Spain,0.5%,0.8
Antimony,P,Spain,1.5%,0.8
Bentonite,E,Spain,0.9%,0.8
Coking coal,P,Spain,0.2%,0.8
Copper,E,Spain,0.9%,0.8
Copper,P,Spain,1.7%,0.8
Diatomite,E,Spain,2.8%,0.8
Feldspar,E,Spain,2.4%,0.8
Fluorspar,E,Spain,2.5%,0.8
Gold,E,Spain,0.1%,0.8
Gypsum,E,Spain,6.8%,0.8
Hydrogen,E,Spain,<0.1%,0.8
Hydrogen,P,Spain,0.4%,0.8
Iron ore,P,Spain,0.8%,0.8
Kaolin,E,Spain,4.2%,0.8
Kaolin,P,Spain,2.2%,0.8
Lead,E,Spain,0.2%,0.8
Lead,P,Spain,1.5%,0.8
Limestone,E,Spain,15.5%,0.8
Magnesite,E,Spain,2.4%,0.8
Manganese,P,Spain,1.1%,0.8
Natural cork,E,Spain,31.5%,0.8
Potash,E,Spain,1.4%,0.8
Roundwood,E,Spain,1%,0.8
Silica sand,E,Spain,2.6%,0.8
Silicon metal,P,Spain,0.7%,0.8
Silver,E,Spain,0.3%,0.8
Strontium,E,Spain,34.2%,0.8
Sulphur,P,Spain,0.8%,0.8
Talc,E,Spain,0.1%,0.8
Tin,E,Spain,<0.1%,0.8
Tungsten,E,Spain,0.6%,0.8
Zinc,E,Spain,0.7%,0.8
Zinc,P,Spain,3.7%,0.8
Feldspar,E,Sri Lanka,0.2%,1.0
Gypsum,E,Sri Lanka,<0.1%,1.0
Iron ore,P,Sri Lanka,<0.1%,1.0
Lead,P,Sri Lanka,<0.1%,1.0
Manganese,P,Sri Lanka,<0.1%,1.0
Natural Graphite,E,Sri Lanka,0.3%,1.0
Natural rubber,E,Sri Lanka,0.6%,1.0
Phosphate Rock,E,Sri Lanka,<0.1%,1.0
Silica sand,E,Sri Lanka,<0.1%,1.0
Titanium,E,Sri Lanka,0.3%,1.0
Titanium metal,E,Sri Lanka,0.3%,1.0
Zirconium,E,Sri Lanka,0.3%,1.0
Feldspar,E,Sudan,0.1%,1.0
Gold,E,Sudan,2.4%,1.0
Gypsum,E,Sudan,0.2%,1.0
Manganese,E,Sudan,<0.1%,1.0
Silver,E,Sudan,<0.1%,1.0
Talc,E,Sudan,<0.1%,1.0
Gold,E,Suriname,0.7%,1.0
Aluminium,P,Sweden,0.2%,0.8
Antimony,P,Sweden,0.1%,0.8
Chromium,P,Sweden,0.9%,0.8
Coking coal,P,Sweden,0.2%,0.8
Copper,E,Sweden,0.5%,0.8
Copper,P,Sweden,0.9%,0.8
Feldspar,E,Sweden,0.1%,0.8
Gold,E,Sweden,0.2%,0.8
Iron ore,E,Sweden,1.3%,0.8
Iron ore,P,Sweden,0.3%,0.8
Lead,E,Sweden,1.5%,0.8
Lead,P,Sweden,0.6%,0.8
Limestone,E,Sweden,1.2%,0.8
Manganese,P,Sweden,<0.1%,0.8
Roundwood,E,Sweden,3%,0.8
Selenium,P,Sweden,1.6%,0.8
Silica sand,E,Sweden,0.3%,0.8
Silver,E,Sweden,1.6%,0.8
Sulphur,P,Sweden,0.5%,0.8
Tellurium,P,Sweden,5%,0.8
Zinc,E,Sweden,2.0%,0.8
Antimony,P,Switzerland,<0.1%,1.0
Gypsum,E,Switzerland,0.2%,1.0
Iron ore,P,Switzerland,0.1%,1.0
Gypsum,E,Syria,<0.1%,1.0
Hydrogen,E,Syria,0.1%,1.0
Iron ore,P,Syria,<0.1%,1.0
Phosphate Rock,E,Syria,0.2%,1.0
Coking coal,P,Taiwan,1.0%,1.0
Hydrogen,E,Taiwan,<0.1%,1.0
Hydrogen,P,Taiwan,0.2%,1.0
Iron ore,P,Taiwan,1.2%,1.0
Lead,P,Taiwan,0.4%,1.0
Neon,P,Taiwan,0.1%,1.0
Silica sand,E,Taiwan,0.1%,1.0
Sulphur,P,Taiwan,0.2%,1.0
Talc,E,Taiwan,<0.1%,1.0
Tin,P,Taiwan,0.9%,1.0
Vanadium,P,Taiwan,0.3%,1.0
Aluminium,P,Tajikistan,0.2%,1.0
Antimony,E,Tajikistan,20.3%,1.0
Antimony,P,Tajikistan,3.5%,1.0
Copper,E,Tajikistan,<0.1%,1.0
Gold,E,Tajikistan,0.2%,1.0
Gypsum,E,Tajikistan,<0.1%,1.0
Hydrogen,E,Tajikistan,<0.1%,1.0
Lead,E,Tajikistan,1.1%,1.0
Silver,E,Tajikistan,<0.1%,1.0
Zinc,E,Tajikistan,0.6%,1.0
Aluminium,E,Tanzania,<0.1%,1.0
Copper,E,Tanzania,0.1%,1.0
Gold,E,Tanzania,1.4%,1.0
Gypsum,E,Tanzania,0.2%,1.0
Hydrogen,E,Tanzania,<0.1%,1.0
Iron ore,E,Tanzania,<0.1%,1.0
Lead,P,Tanzania,<0.1%,1.0
Phosphate Rock,E,Tanzania,<0.1%,1.0
Silver,E,Tanzania,0.1%,1.0
Tin,E,Tanzania,<0.1%,1.0
Antimony,E,Thailand,<0.1%,1.0
Antimony,P,Thailand,3.6%,1.0
Barytes,E,Thailand,1.1%,1.0
Cerium,E,Thailand,1.1%,1.0
Dysprosium,E,Thailand,1.3%,1.0
Erbium,E,Thailand,1.1%,1.0
Europium,E,Thailand,1.1%,1.0
Feldspar,E,Thailand,3.8%,1.0
Fluorspar,E,Thailand,0.2%,1.0
Gadolinium,E,Thailand,1.1%,1.0
Gold,E,Thailand,<0.1%,1.0
Gypsum,E,Thailand,6.7%,1.0
Holmium,E,Thailand,1.1%,1.0
Hydrogen,E,Thailand,1.0%,1.0
Iron ore,E,Thailand,<0.1%,1.0
Iron ore,P,Thailand,0.3%,1.0
Kaolin,E,Thailand,1.3%,1.0
Kaolin,P,Thailand,0.5%,1.0
Lanthanum,E,Thailand,1.1%,1.0
Lead,P,Thailand,0.7%,1.0
Lutetium,E,Thailand,1.1%,1.0
Manganese,E,Thailand,<0.1%,1.0
Manganese,P,Thailand,<0.1%,1.0
Natural rubber,E,Thailand,32.2%,1.0
Natural teak wood,E,Thailand,0.6%,1.0
Neodymium,E,Thailand,1.1%,1.0
Perlite,E,Thailand,0.3%,1.0
Phosphate Rock,E,Thailand,<0.1%,1.0
Praseodymium,E,Thailand,1.1%,1.0
Roundwood,E,Thailand,1%,1.0
Samarium,E,Thailand,1.1%,1.0
Silica sand,E,Thailand,0.6%,1.0
Silver,E,Thailand,<0.1%,1.0
Talc,E,Thailand,0.7%,1.0
Terbium,E,Thailand,1.3%,1.0
Thulium,E,Thailand,1.1%,1.0
Tin,E,Thailand,0.1%,1.0
Tin,P,Thailand,2.9%,1.0
Titanium,E,Thailand,<0.1%,1.0
Titanium metal,E,Thailand,<0.1%,1.0
Tungsten,E,Thailand,0.1%,1.0
Ytterbium,E,Thailand,1.1%,1.0
Yttrium,E,Thailand,1.1%,1.0
Zinc,E,Thailand,0.1%,1.0
Zinc,P,Thailand,0.2%,1.0
Gold,E,Togo,0.3%,1.0
Phosphate Rock,E,Togo,0.5%,1.0
Hydrogen,E,Trinidad and Tobago,0.9%,1.0
Barytes,E,Tunisia,0.1%,1.0
Gypsum,E,Tunisia,0.6%,1.0
Hydrogen,E,Tunisia,0.1%,1.0
Iron ore,E,Tunisia,<0.1%,1.0
Iron ore,P,Tunisia,<0.1%,1.0
Natural cork,E,Tunisia,3.6%,1.0
Phosphate Rock,E,Tunisia,1.3%,1.0
Aluminium,E,Türkiye,0.5%,1.0
Aluminium,P,Türkiye,0.1%,1.0
Antimony,E,Türkiye,2.5%,1.0
Antimony,P,Türkiye,0.2%,1.0
Barytes,E,Türkiye,4.0%,1.0
Bentonite,E,Türkiye,7.4%,1.0
Borate,E,Türkiye,48.4%,1.0
Borate,P,Türkiye,44.8%,1.0
Chromium,E,Türkiye,3.8%,1.0
Chromium,P,Türkiye,1.1%,1.0
Cobalt,E,Türkiye,0.1%,1.0
Coking coal,E,Türkiye,0.1%,1.0
Coking coal,P,Türkiye,0.7%,1.0
Copper,E,Türkiye,0.5%,1.0
Copper,P,Türkiye,0.4%,1.0
Diatomite,E,Türkiye,7.2%,1.0
Feldspar,E,Türkiye,31.8%,1.0
Fluorspar,E,Türkiye,0.2%,1.0
Gold,E,Türkiye,0.9%,1.0
Gypsum,E,Türkiye,6.1%,1.0
Hydrogen,E,Türkiye,<0.1%,1.0
Iron ore,E,Türkiye,0.6%,1.0
Iron ore,P,Türkiye,2.0%,1.0
Kaolin,E,Türkiye,14.7%,1.0
Lead,E,Türkiye,1.6%,1.0
Lead,P,Türkiye,0.5%,1.0
Limestone,E,Türkiye,18.5%,1.0
Magnesite,E,Türkiye,7.1%,1.0
Magnesium,P,Türkiye,0.4%,1.0
Manganese,E,Türkiye,0.2%,1.0
Manganese,P,Türkiye,<0.1%,1.0
Molybdenum,E,Türkiye,0.1%,1.0
Natural Graphite,E,Türkiye,0.9%,1.0
Nickel,E,Türkiye,0.5%,1.0
Perlite,E,Türkiye,23.9%,1.0
Phosphate Rock,E,Türkiye,0.2%,1.0
Sapele wood,E,Türkiye,<0.1%,1.0
Silica sand,E,Türkiye,4.4%,1.0
Silver,E,Türkiye,0.6%,1.0
Sulphur,P,Türkiye,0.2%,1.0
Talc,E,Türkiye,3.3%,1.0
Titanium,E,Türkiye,0.1%,1.0
Titanium metal,E,Türkiye,0.1%,1.0
Zinc,E,Türkiye,1.2%,1.0
Zirconium,E,Türkiye,0.1%,1.0
Bentonite,E,Turkmenistan,0.1%,1.0
Hydrogen,E,Turkmenistan,1.8%,1.0
Potash,E,Turkmenistan,<0.1%,1.0
Sulphur,P,Turkmenistan,0.5%,1.0
Roundwood,E,Turkyie,1%,1.0
Beryllium,E,Uganda,0.6%,1.0
Gold,E,Uganda,<0.1%,1.0
Gypsum,E,Uganda,<0.1%,1.0
Iron ore,E,Uganda,<0.1%,1.0
Iron ore,P,Uganda,<0.1%,1.0
Lead,P,Uganda,<0.1%,1.0
Niobium,E,Uganda,<0.1%,1.0
Tin,E,Uganda,<0.1%,1.0
Tungsten,E,Uganda,0.1%,1.0
Antimony,P,Ukraine,<0.1%,1.0
Bentonite,E,Ukraine,0.7%,1.0
Coking coal,E,Ukraine,0.4%,1.0
Coking coal,P,Ukraine,1.6%,1.0
Copper,P,Ukraine,0.1%,1.0
Feldspar,E,Ukraine,0.1%,1.0
Gallium,P,Ukraine,2.2%,1.0
Germanium,P,Ukraine,0.9%,1.0
Gypsum,E,Ukraine,0.9%,1.0
Hafnium,P,Ukraine,1.4%,1.0
Hydrogen,E,Ukraine,0.5%,1.0
Iron ore,E,Ukraine,2.8%,1.0
Iron ore,P,Ukraine,1.2%,1.1
Kaolin,E,Ukraine,24.2%,1.0
Krypton,P,Ukraine,33%,1.0
Lead,P,Ukraine,0.2%,1.0
Manganese,E,Ukraine,3.4%,1.0
Manganese,P,Ukraine,4.4%,1.0
Natural Graphite,E,Ukraine,1.2%,1.0
Neon,P,Ukraine,29.7%,1.0
Nickel,P,Ukraine,0.8%,1.0
Perlite,E,Ukraine,0.4%,1.0
Scandium,P,Ukraine,4.2%,1.0
Sulphur,P,Ukraine,0.3%,1.0
Titanium,E,Ukraine,6.3%,1.0
Titanium,P,Ukraine,1.4%,1.1
Titanium metal,E,Ukraine,6.3%,1.0
Titanium metal,P,Ukraine,3.8%,1.1
Zinc,P,Ukraine,<0.1%,1.0
Zirconium,E,Ukraine,1.6%,1.0
Aluminium,P,United Arab Emirates,4.1%,1.0
Antimony,P,United Arab Emirates,0.1%,1.0
Hydrogen,E,United Arab Emirates,1.5%,1.0
Iron ore,P,United Arab Emirates,0.2%,1.0
Lead,P,United Arab Emirates,0.2%,1.0
Manganese,P,United Arab Emirates,<0.1%,1.0
Sulphur,P,United Arab Emirates,6.5%,1.0
Aluminium,P,United Kingdom,0.1%,1.0
Antimony,P,United Kingdom,0.5%,1.0
Barytes,E,United Kingdom,0.6%,1.0
Coking coal,E,United Kingdom,0.1%,1.0
Coking coal,P,United Kingdom,0.2%,1.0
Fluorspar,E,United Kingdom,0.2%,1.0
Gypsum,E,United Kingdom,0.9%,1.0
Hydrogen,E,United Kingdom,1.1%,1.0
Hydrogen,P,United Kingdom,0.1%,1.0
Iron ore,P,United Kingdom,0.4%,1.0
Kaolin,E,United Kingdom,<0.1%,1.0
Kaolin,P,United Kingdom,<0.1%,1.0
Lead,E,United Kingdom,<0.1%,1.0
Lead,P,United Kingdom,2.6%,1.0
Limestone,E,United Kingdom,10.1%,1.0
Manganese,P,United Kingdom,<0.1%,1.0
Nickel,P,United Kingdom,1.0%,1.0
Potash,E,United Kingdom,0.6%,1.0
Silica sand,E,United Kingdom,1.9%,1.0
Sulphur,P,United Kingdom,0.2%,1.0
Talc,E,United Kingdom,<0.1%,1.0
Tin,E,United Kingdom,<0.1%,1.0
Titanium,P,United Kingdom,3.2%,1.0
Tungsten,E,United Kingdom,0.6%,1.0
Aluminium,E,United States,0.1%,1.0
Aluminium,P,United States,1.5%,1.0
Antimony,P,United States,0.9%,1.0
Barytes,E,United States,3.3%,1.0
Bentonite,E,United States,20.7%,1.0
Beryllium,E,United States,67.3%,1.0
Beryllium,P,United States,50.2%,1.0
Borate,E,United States,24.9%,1.0
Borate,P,United States,23.4%,1.0
Cadmium,P,United States,1.3%,1.0
Cerium,E,United States,9.2%,1.0
